,time,thscode,ths_the_new_csrc_industry_stock,ths_china_securities_industry_stock,ths_avg_held_num_growth_q_stock,ths_avg_held_num_growth_6m_stock,ths_total_current_assets_stock,ths_sq_operating_total_revenue_stock,ths_sq_np_stock,ths_total_profit_to_oi_ttm_stock,ths_avg_price_stock,ths_vol_stock,ths_inflow_vol_stock,ths_outflow_vol_stock,ths_the_amac_index_stock,ths_ygzs_new_stock,ths_sm_num_stock,ths_techcore_num_stock,ths_total_shares_stock,ths_total_float_shares_stock,ths_float_ashare_to_total_shares_stock,ths_hk_listed_stock_ratio_stock,ths_overseas_listed_shares_ratio_stock,ths_top10_hlolder_held_ratio_stock,ths_top10_float_hlolder_held_ratio_stock,ths_qfii_held_ratio_stock,ths_fund_held_ratio_stock,ths_broker_held_ratio_stock,ths_accum_pledge_num_ratio_stock,ths_eps_basic_stock,ths_nav_ps_stock,ths_roe_avg_by_ths_stock,ths_net_interest_of_ta_stock,ths_gross_selling_rate_stock,ths_np_to_revenue_stock,ths_rad_cost_to_revenue_stock,ths_bisic_eps_yoy_stock,ths_operating_revenue_yoy_stock,ths_np_yoy_stock,ths_net_assets_yoy_stock,ths_rad_amt_yoy_stock,ths_asset_liab_ratio_stock,ths_current_asset_turnover_stock,ths_fixed_asset_turnover_ratio_stock,ths_operating_capital_turnover_stock,ths_dividend_benchmark_shares_stock,ths_dividend_ps_before_tax_stock,ths_dividend_ratio_stock,ths_turnover_ratio_stock,ths_net_infow_stock,ths_main_inflow_rate_stock,ths_int_illegality_num_stock,ths_int_illegality_amt_stock,ths_float_holder_held_mv_stock,ths_org_holder_type_stock,ths_fixed_asset_sum_pit_stock,ths_total_revenue_growth_ny_stock,ths_operating_profit_growth_ny_stock,ths_net_profit_growth_ny_stock,ths_total_assets_growth_ny_stock,ths_holder_equity_growth_ny_stock,ths_net_asset_yield_growth_ny_stock,ths_open_price_stock,ths_close_price_stock,ths_low_stock,ths_high_price_stock,year,ths_latest_subject_rating_stock,ths_revenue_pp_stock,ths_sm_annual_total_salary_stock,ths_postgraduate_num_ratio_stock,ths_tech_num_ratio_stock,ths_manage_staff_ratio_stock,mean_score,std_score,quater_score,quater3_score
20,2019-01-02,300750.SZ,制造业,,,,,,,14.200045794297,74.249488076728,4394096.0,517707.0,526560.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0226571967441,4252.0,0.096766206291351,,,554196036.64,一般法人,,,,,,,,74.25,73.66,73.53,74.97,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
21,2019-01-03,300750.SZ,制造业,,,,,,,14.200045794297,73.914551132694,4494903.0,667058.0,799517.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0690599162186,1819.0,0.040468059043766,,,555475066.32,一般法人,,,,,,,,72.51,73.83,72.51,74.54,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
22,2019-01-04,300750.SZ,制造业,,,,,,,14.200045794297,76.163795226285,7905331.0,1810223.0,1183800.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.6389224631856,1356013.0,17.153146402092,,,579024259.84,一般法人,,,,,,,,73.33,76.96,73.23,77.24,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
23,2019-01-07,300750.SZ,制造业,,,,,,,14.200045794297,77.154328857458,5969559.0,928080.0,1215046.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.747862466532,-385666.0,-6.4605442378574,,,582485163.68,一般法人,,,,,,,,76.94,77.42,76.3,77.65,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
24,2019-01-08,300750.SZ,制造业,,,,,,,14.200045794297,78.613220449237,8574990.0,1865890.0,1733457.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.947174853601,655953.0,7.6496065884625,,,596855438.32,一般法人,,,,,,,,77.22,79.33,77.2,79.45,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
25,2019-01-09,300750.SZ,制造业,,,,,,,14.200045794297,76.949386156359,12379879.0,2057539.0,4099701.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.6986127190145,-1493735.0,-12.065828753254,,,586698437.92,一般法人,,,,,,,,77.0,77.98,75.18,78.21,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
26,2019-01-10,300750.SZ,制造业,,,,,,,14.200045794297,76.821229036749,8394273.0,634454.0,1462279.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.863988564402,-1035844.0,-12.339889350751,,,573908141.12,一般法人,,,,,,,,77.64,76.28,76.02,77.85,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
27,2019-01-11,300750.SZ,制造业,,,,,,,14.200045794297,75.561950892849,6136703.0,844263.0,1031882.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.8248009345337,-355801.0,-5.7979178721864,,,566459674.16,一般法人,,,,,,,,76.6,75.29,74.8,76.75,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
28,2019-01-14,300750.SZ,制造业,,,,,,,14.200045794297,75.587021086682,4848795.0,745326.0,861408.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.2319608179445,105515.0,2.1761076721123,,,572403400.32,一般法人,,,,,,,,75.3,76.08,74.3,76.33,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
29,2019-01-15,300750.SZ,制造业,,,,,,,14.200045794297,76.327050271255,5873635.0,1327042.0,773156.0,AMAC电气,,6,4,2195017400.0,217243733.0,9.8971303370989,0.0,0.0,,,,,,1.0933854100655,,,,,,,,,,,,,,,,,,,,2.7037074528636,854072.0,14.540774154335,,,582108978.48,一般法人,,,,,,,,76.0,77.37,74.85,77.48,2019,Baa1,,2339.32,7.2567693744164,20.033613445378,,,,,
